date,close,turnover_rate_f,pct_chg
2010-09-14,2965.009,1.63,0.0908
2010-09-15,2913.194,1.66,-1.7475
2010-09-16,2857.789,1.72,-1.9019
2010-09-17,2861.369,1.2,0.1253
2010-09-20,2849.828,1.16,-0.4033
2010-09-21,2857.476,0.83,0.2684
2010-09-27,2905.029,1.13,1.6642
2010-09-28,2880.907,1.36,-0.8304
2010-09-29,2874.812,1.31,-0.2116
2010-09-30,2935.574,1.45,2.1136
2010-10-08,3044.233,2.3,3.7015
2010-10-11,3132.895,3.66,2.9125
2010-10-12,3172.726,2.93,1.2714
2010-10-13,3217.577,3.33,1.4136
2010-10-14,3224.14,4.13,0.204
2010-10-15,3327.683,4.4,3.2115
2010-10-18,3306.16,4.95,-0.6468
2010-10-19,3375.674,2.97,2.1026
2010-10-20,3396.879,3.78,0.6282
2010-10-21,3374.685,2.81,-0.6534
2010-10-22,3378.655,2.64,0.1176
2010-10-25,3481.081,3.3,3.0316
2010-10-26,3466.084,3.23,-0.4308
2010-10-27,3403.872,2.8,-1.7949
2010-10-28,3397.692,2.23,-0.1816
2010-10-29,3379.983,2.27,-0.5212
2010-11-01,3472.995,2.86,2.7518
2010-11-02,3463.131,3.5,-0.284
2010-11-03,3420.341,2.86,-1.2356
2010-11-04,3480.505,2.64,1.759
2010-11-05,3520.798,3.1,1.1577
2010-11-08,3548.566,2.83,0.7887
2010-11-09,3523.954,2.74,-0.6936
2010-11-10,3499.111,2.69,-0.705
2010-11-11,3509.975,3.11,0.3105
2010-11-12,3291.833,3.6,-6.2149
2010-11-15,3314.893,2.29,0.7005
2010-11-16,3169.538,2.42,-4.3849
2010-11-17,3103.906,1.86,-2.0707
2010-11-18,3147.962,1.46,1.4194
2010-11-19,3178.846,1.86,0.9811
2010-11-22,3171.941,1.85,-0.2172
2010-11-23,3107.176,1.72,-2.0418
2010-11-24,3177.043,1.68,2.2486
2010-11-25,3223.484,1.86,1.4618
2010-11-26,3194.853,1.44,-0.8882
2010-11-29,3190.05,1.31,-0.1503
2010-11-30,3136.985,1.91,-1.6635
2010-12-01,3136.024,1.08,-0.0306
2010-12-02,3155.059,1.35,0.607
2010-12-03,3158.156,1.12,0.0982
2010-12-06,3165.57,1.25,0.2348
2010-12-07,3200.339,1.3,1.0983
2010-12-08,3171.882,1.32,-0.8892
2010-12-09,3123.366,1.47,-1.5296
2010-12-10,3161.977,1.27,1.2362
2010-12-13,3261.061,2.12,3.1336
2010-12-14,3269.474,1.86,0.258
2010-12-15,3247.644,1.6,-0.6677
2010-12-16,3230.665,1.25,-0.5228
2010-12-17,3225.661,0.99,-0.1549
2010-12-20,3178.657,1.65,-1.4572
2010-12-21,3249.509,1.76,2.229
2010-12-22,3215.453,1.54,-1.048
2010-12-23,3188.607,1.35,-0.8349
2010-12-24,3162.955,1.22,-0.8045
2010-12-27,3099.709,1.54,-1.9996
2010-12-28,3044.931,1.24,-1.7672
2010-12-29,3061.83,0.99,0.555
2010-12-30,3064.098,1.19,0.0741
2010-12-31,3128.261,1.37,2.094
2011-01-04,3189.682,1.9,1.9634
2011-01-05,3175.662,1.76,-0.4395
2011-01-06,3159.643,1.32,-0.5044
2011-01-07,3166.624,1.87,0.2209
2011-01-10,3108.187,1.45,-1.8454
2011-01-11,3124.922,1.26,0.5384
2011-01-12,3142.337,1.3,0.5573
2011-01-13,3141.284,1.15,-0.0335
2011-01-14,3091.862,1.18,-1.5733
2011-01-17,2974.35,1.48,-3.8007
2011-01-18,2977.648,0.95,0.1109
2011-01-19,3044.851,1.25,2.2569
2011-01-20,2944.713,1.35,-3.2888
2011-01-21,2983.456,1.62,1.3157
2011-01-24,2954.232,1.45,-0.9795
2011-01-25,2938.654,1.08,-0.5273
2011-01-26,2978.431,0.96,1.3536
2011-01-27,3026.466,1.83,1.6128
2011-01-28,3036.735,1.39,0.3393
2011-01-31,3076.508,1.48,1.3097
2011-02-01,3077.283,1.1,0.0252
2011-02-09,3040.949,1.34,-1.1807
2011-02-10,3104.163,1.47,2.0788
2011-02-11,3120.956,1.68,0.541
2011-02-14,3219.143,2.68,3.1461
2011-02-15,3217.671,2.42,-0.0457
2011-02-16,3248.527,2.02,0.959
2011-02-17,3245.907,1.96,-0.0807
2011-02-18,3211.876,1.66,-1.0484
2011-02-21,3257.908,1.75,1.4332
2011-02-22,3163.578,2.38,-2.8954
2011-02-23,3174.742,1.57,0.3529
2011-02-24,3190.935,1.46,0.5101
2011-02-25,3197.617,1.36,0.2094
2011-02-28,3239.559,1.69,1.3117
2011-03-01,3254.893,1.95,0.4733
2011-03-02,3243.298,1.78,-0.3562
2011-03-03,3221.718,2.22,-0.6654
2011-03-04,3270.666,1.76,1.5193
2011-03-07,3334.51,2.6,1.952
2011-03-08,3337.457,1.87,0.0884
2011-03-09,3338.858,1.72,0.042
2011-03-10,3280.259,1.72,-1.7551
2011-03-11,3247.376,1.48,-1.0025
2011-03-14,3262.92,1.4,0.4787
2011-03-15,3203.961,2.11,-1.8069
2011-03-16,3248.195,1.73,1.3806
2011-03-17,3197.1,1.88,-1.573
2011-03-18,3215.685,1.35,0.5813
2011-03-21,3207.11,1.3,-0.2667
2011-03-22,3222.961,1.26,0.4942
2011-03-23,3264.926,1.58,1.3021
2011-03-24,3251.361,1.34,-0.4155
2011-03-25,3294.484,1.9,1.3263
2011-03-28,3290.571,2.14,-0.1188
2011-03-29,3257.979,2.3,-0.9905
2011-03-30,3256.08,1.71,-0.0583
2011-03-31,3223.288,1.42,-1.0071
2011-04-01,3272.729,1.39,1.5339
2011-04-06,3311.067,2.32,1.1714
2011-04-07,3324.419,1.86,0.4033
2011-04-08,3353.358,1.62,0.8705
2011-04-11,3333.427,2.29,-0.5944
2011-04-12,3326.771,2.23,-0.1997
2011-04-13,3372.031,1.91,1.3605
2011-04-14,3353.56,1.95,-0.5478
2011-04-15,3358.944,1.72,0.1605
2011-04-18,3359.438,1.89,0.0147
2011-04-19,3295.812,1.86,-1.8939
2011-04-20,3295.758,1.58,-0.0016
2011-04-21,3317.367,1.6,0.6557
2011-04-22,3299.942,1.47,-0.5253
2011-04-25,3249.574,1.62,-1.5263
2011-04-26,3230.96,1.29,-0.5728
2011-04-27,3209.503,1.36,-0.6641
2011-04-28,3161.776,1.42,-1.4871
2011-04-29,3192.723,1.17,0.9788
2011-05-03,3211.132,1.2,0.5766
2011-05-04,3129.028,1.45,-2.5569
2011-05-05,3126.117,1.14,-0.093
2011-05-06,3121.396,1.2,-0.151
2011-05-09,3129.759,0.99,0.2679
2011-05-10,3153.221,0.88,0.7496
2011-05-11,3145.085,1.03,-0.258
2011-05-12,3101.603,1.05,-1.3825
2011-05-13,3128.093,1.01,0.8541
2011-05-16,3100.463,0.97,-0.8833
2011-05-17,3116.028,1.1,0.502
2011-05-18,3139.379,0.85,0.7494
2011-05-19,3120.639,0.92,-0.5969
2011-05-20,3121.596,0.82,0.0307
2011-05-23,3022.98,1.19,-3.1592
2011-05-24,3026.223,0.89,0.1073
2011-05-25,2990.343,0.84,-1.1856
2011-05-26,2978.381,0.79,-0.4
2011-05-27,2963.308,0.91,-0.5061
2011-05-30,2954.506,0.74,-0.297
2011-05-31,3001.556,0.84,1.5925
2011-06-01,3004.173,0.82,0.0872
2011-06-02,2955.705,1.12,-1.6134
2011-06-03,2986.349,0.83,1.0368
2011-06-07,3004.262,0.78,0.5998
2011-06-08,3008.652,0.9,0.1461
2011-06-09,2951.889,1.0,-1.8867
2011-06-10,2961.932,0.89,0.3402
2011-06-13,2950.348,0.81,-0.3911
2011-06-14,2993.559,1.18,1.4646
2011-06-15,2963.119,0.93,-1.0168
2011-06-16,2917.578,0.86,-1.5369
2011-06-17,2892.157,0.86,-0.8713
2011-06-20,2874.896,0.79,-0.5968
2011-06-21,2909.073,0.88,1.1888
2011-06-22,2908.582,0.78,-0.0169
2011-06-23,2957.629,0.96,1.6863
2011-06-24,3027.47,1.79,2.3614
2011-06-27,3036.491,1.37,0.298
2011-06-28,3041.734,1.16,0.1727
2011-06-29,3000.169,1.11,-1.3665
2011-06-30,3044.089,1.3,1.4639
2011-07-01,3049.745,1.2,0.1858
2011-07-04,3121.98,1.7,2.3686
2011-07-05,3122.5,1.42,0.0167
2011-07-06,3113.712,1.29,-0.2814
2011-07-07,3101.68,1.51,-0.3864
2011-07-08,3109.183,1.08,0.2419
2011-07-11,3113.206,1.0,0.1294
2011-07-12,3056.905,1.2,-1.8085
2011-07-13,3106.247,1.13,1.6141
2011-07-14,3115.745,1.26,0.3058
2011-07-15,3128.889,1.27,0.4219
2011-07-18,3122.6,1.25,-0.201
2011-07-19,3095.125,1.1,-0.8799
2011-07-20,3091.567,0.91,-0.115
2011-07-21,3059.139,0.91,-1.0489
2011-07-22,3067.985,0.76,0.2892
2011-07-25,2968.289,1.38,-3.2496
2011-07-26,2977.766,0.89,0.3193
2011-07-27,3000.052,0.99,0.7484
2011-07-28,2981.002,0.99,-0.635
2011-07-29,2972.079,0.95,-0.2993
2011-08-01,2977.721,0.7,0.1898
2011-08-02,2956.383,0.8,-0.7166
2011-08-03,2954.87,0.79,-0.0512
2011-08-04,2960.309,0.67,0.1841
2011-08-05,2897.417,1.01,-2.1245
2011-08-08,2793.897,1.46,-3.5728
2011-08-09,2798.19,1.43,0.1537
2011-08-10,2824.12,1.2,0.9267
2011-08-11,2866.924,1.2,1.5157
2011-08-12,2875.365,1.17,0.2944
2011-08-15,2917.883,1.22,1.4787
2011-08-16,2897.581,1.04,-0.6958
2011-08-17,2886.013,0.8,-0.3992
2011-08-18,2834.254,0.8,-1.7934
2011-08-19,2807.664,0.85,-0.9382
2011-08-22,2777.787,0.67,-1.0641
2011-08-23,2821.003,0.64,1.5558
2011-08-24,2810.016,0.69,-0.3895
2011-08-25,2903.837,1.42,3.3388
2011-08-26,2901.216,0.9,-0.0903
2011-08-29,2852.809,0.87,-1.6685
2011-08-30,2841.74,0.85,-0.388
2011-08-31,2846.776,0.63,0.1772
2011-09-01,2834.535,0.59,-0.43
2011-09-02,2803.854,0.58,-1.0824
2011-09-05,2743.817,0.63,-2.1412
2011-09-06,2723.303,0.59,-0.7476
2011-09-07,2779.09,0.66,2.0485
2011-09-08,2756.105,0.53,-0.8271
2011-09-09,2751.095,0.53,-0.1818
2011-09-13,2720.283,0.53,-1.12
2011-09-14,2733.108,0.6,0.4715
2011-09-15,2729.051,0.61,-0.1484
2011-09-16,2733.987,0.54,0.1809
2011-09-19,2679.27,0.57,-2.0014
2011-09-20,2689.845,0.5,0.3947
2011-09-21,2771.011,1.11,3.0175
2011-09-22,2685.688,0.93,-3.0791
2011-09-23,2669.478,0.84,-0.6036
2011-09-26,2610.919,0.77,-2.1936
2011-09-27,2637.879,0.69,1.0326
2011-09-28,2610.59,0.67,-1.0345
2011-09-29,2588.185,0.73,-0.8582
2011-09-30,2581.351,0.63,-0.264
2011-10-10,2557.082,0.56,-0.9402
2011-10-11,2551.994,0.89,-0.199
2011-10-12,2644.758,1.3,3.635
2011-10-13,2662.601,1.18,0.6747
2011-10-14,2653.782,0.75,-0.3312
2011-10-17,2666.951,0.71,0.4962
2011-10-18,2592.209,0.77,-2.8025
2011-10-19,2583.081,0.61,-0.3521
2011-10-20,2520.532,0.78,-2.4215
2011-10-21,2507.877,0.58,-0.5021
2011-10-24,2576.669,0.91,2.743
2011-10-25,2625.425,1.13,1.8922
2011-10-26,2651.652,1.43,0.999
2011-10-27,2657.478,0.95,0.2197
2011-10-28,2709.017,1.4,1.9394
2011-10-31,2695.307,0.99,-0.5061
2011-11-01,2697.534,1.08,0.0826
2011-11-02,2742.39,1.25,1.6629
2011-11-03,2744.301,1.65,0.0697
2011-11-04,2763.746,1.2,0.7086
2011-11-07,2736.248,0.88,-0.995
2011-11-08,2727.71,0.93,-0.312
2011-11-09,2751.654,0.91,0.8778
2011-11-10,2699.588,0.99,-1.8922
2011-11-11,2695.002,0.71,-0.1699
2011-11-14,2750.195,0.9,2.048
2011-11-15,2744.68,0.81,-0.2005
2011-11-16,2670.116,1.08,-2.7167
2011-11-17,2662.017,0.68,-0.3033
2011-11-18,2606.495,0.82,-2.0857
2011-11-21,2609.687,0.54,0.1225
2011-11-22,2609.475,0.56,-0.0081
2011-11-23,2584.011,0.55,-0.9758
2011-11-24,2588.915,0.59,0.1898
2011-11-25,2569.973,0.46,-0.7317
2011-11-28,2573.321,0.5,0.1303
2011-11-29,2608.569,0.58,1.3697
2011-11-30,2521.52,0.82,-3.337
2011-12-01,2583.613,1.23,2.4625
2011-12-02,2557.311,0.62,-1.018
2011-12-05,2521.385,0.62,-1.4048
2011-12-06,2516.341,0.51,-0.2
2011-12-07,2528.228,0.45,0.4724
2011-12-08,2525.001,0.54,-0.1276
2011-12-09,2503.461,0.47,-0.8531
2011-12-12,2477.692,0.42,-1.0293
2011-12-13,2421.928,0.69,-2.2506
2011-12-14,2397.48,0.49,-1.0094
2011-12-15,2340.788,0.71,-2.3646
2011-12-16,2390.129,0.7,2.1079
2011-12-19,2384.408,0.73,-0.2394
